Juliet Mills
Juliette Binoche
Kaitlyn Dever
Kaley Cuoco
Karen Black
Kate Winslet
Katey Sagal
Katharine Hepburn
Katherine Helmond
Kathleen Quinlan
Kathleen Turner
Kathy Bates
Keira Knightley
Keisha Castle-Hughes
Kelly Macdonald
Kerry Washington
Kim Stanley
Kirsten Dunst
Kirstie Alley
Kristen Bell
Kristen Stewart
Kristin Scott Thomas
Kyra Sedgwick
Lady Gaga
Lana Turner
Laura Dern
Laura Linney
Laura San Giacomo
Lea Michele
Lee Remick
Leelee Sobieski
Lena Dunham
Lesley Ann Warren
Leslie Caron
Lily Collins
Lily Tomlin
Linda Hamilton
Linda Lavin
Lisa Eichhorn
Liv Ullmann
Liza Minnelli
Loni Anderson
Loretta Swit
Loretta Young
Louise Dresser
Louise Fletcher
Lucille Ball
Lucy Gutteridge
Luise Rainer
Lynn Fontanne
Lynn Redgrave
Lynn Whitfield
Madeline Kahn
Maggie Gyllenhaal
Maggie McNamara
Maggie Smith
Marcia Cross
Margaret Qualley
Margaret Sullavan
Margot Robbie
Maria Bello
Marie Dressler
Marie-Christine Barrault
Marilyn Hassett
Marina Vlady
Marion Cotillard
Marlee Matlin
Marlene Dietrich
Marlo Thomas
Marsha Mason
Martha Scott
Mary McDonnell
Mary Pickford
Mary Tyler Moore
Mary-Louise Parker
May Robson
Melanie Griffith
Melina Mercouri
Melissa Leo
Melissa McCarthy
Merle Oberon
Merritt Wever
Meryl Streep
Mia Farrow
Michelle Pfeiffer
Michelle Williams
Mira Sorvino
Miranda Richardson
Miriam Hopkins
Nancy Carroll
Nancy Kelly
Nancy Kwan
Nancy Sinatra
Naomi Watts
Nastassja Kinski
Natalie Portman
Natalie Wood
Natasha Lyonne
Nell Carter
Nicole Kidman
Norma Shearer
Olivia Colman
Olivia de Havilland
Pamela Adlon
Patricia Arquette
Patricia Neal
Patricia Richardson
Patty Duke
Pauline Collins
Pauline Fredericks
Peggy Ashcroft
Penny Marshall
Penélope Cruz
Phoebe Waller-Bridge
