Meg Ryan
Kate Hudson
Jodie Foster
Natalie Wood
Katharine Hepburn
Grace Kelly
Sigourney Weaver
Sally Field
Elizabeth Taylor
Diane Keaton
Carol Burnett
Jessica Lange
Tina Fey
Bette Davis
Margot Robbie
Gal Gadot
Selena Gomez
Jennifer Lopez
Emilia Clarke
Sophia Loren
Millie Bobby Brown
Elizabeth Olsen
Beyonce Knowles
Blake Lively
Helen Hunt
Mila Kunis
Emily Blunt
Lucille Ball
Julia Louis-Dreyfus
Anna Kendrick
Hilary Swank
Kristen Stewart
Brie Larson
Mary Tyler Moore
Kristen Bell
Rachel McAdams
Courteney Cox
Hailee Steinfeld
Dakota Johnson
Kate Beckinsale
Kathy Bates
Alexandra Daddario
Salma Hayek
Chloe Grace Moretz
Glenn Close
Ingrid Bergman
Sarah Paulson
Zooey Deschanel
Winona Ryder
Sofia Vergara
Zoe Saldana
Meghan Markle
Jessica Alba
Jennifer Connelly
Bea Arthur
Rachel Weisz
Cate Blanchett
Mariah Carey
Vanessa Hudgens
Daisy Ridley
Britanny Murphy
Nina Dobrev
Kaley Cuoco
Shailene Woodley
Maisie Williams
Isla Fisher
Evan Rachel Wood
Kirsten Dunst
Emma Roberts
Gwyneth Paltrow
Jessica Chastain
Melissa McCarthy
Karen Gillan
Marisa Tomei
Saoirse Ronan
Pink
Elizabeth Banks
Bryce Dallas Howard
Jessica Biel
Dakota Fanning
Naomi Scott
Naya Rivera
Kate McKinnon
Olivia de Havilland
Katherine Heigl
Ana de Armas
Lily Collins
Lisa Kudrow
Eva Green
Emma Thompson
Alison Brie
Liv Tyler
Cobie Smulders
Sharon Tate
Eva Mendes
Vera Farmiga
Renee Zellweger
Hilary Duff
Jennifer Love Hewitt
Nicole Scherzinger
Deepika Padukone
Rosamund Pike
Hayden Panettiere
Mary Elizabeth Winstead
Lindsay Lohan
Viola Davis
Ariana Grande
Michelle Williams
Marlene Dietrich
Sunny Leone
Melissa Benoist
Angela Bassett
Olivia Rodrigo
Rashida Jones
Monica Bellucci
Bridget Moynahan
Uma Thurman
Cherilyn Sarkisian
Milla Jovovich
Alexis Bledel
Michelle Rodriguez
Lupita Nyong'o
Taraji P Henson
Sarah Hyland
Diane Lane
Zoë Kravitz
Zoey Deutch
Maggie Baird
Judi Dench
Natalia Dyer
Krysten Ritter
Dolly Parton
Lady Gaga
Laura Prepon
Amanda Seyfried
Laura Dern
Lucy Liu
Natalie Dormer
Joan Crawford
Barbara Stanwyck
Morena Baccarin
Katie Holmes
Diane Kruger
Sissy Spacek
Kim Basinger
Greta Garbo
Robin Wright
Claire Danes
Allison Janney
Sarah Michelle Gellar
Carla Gugino
Sandra Oh
Jada Pinkett Smith
Ashley Olsen
Lori Loughlin
Marion Cotillard
Rita Hayworth
Ava Gardner
Lacey Chabert
Julia Stiles
Jenny McCarthy
Mary Steenburgen
Alicia Silverstone
Rose Byrne
Fergie
Kat Dennings
Evangeline Lilly
Amy Poehler
Hedy Lamarr
Lizzy Caplan
Jenna Coleman
Anna Faris
Léa Seydoux
Victoria Justice
Natasha Lyonne
Eva Longoria
Elisabeth Shue
Shay Mitchell
Emma Mackey
Anna Paquin
Vanessa Kirby
Thandie Newton
Jennifer Hudson
Melanie Griffith
Elisha Cuthbert
Lea Michele
Ashley Judd
Joan Fontaine
Maggie Q
Lisa Bonet
Lana Turner
Sofia Boutella
Alicia Vikander
Vanna White
Taissa Farmiga
Anushka Sharma
Teresa Palmer
Yvonne Strahovski
Lauren Cohan
Christina Ricci
Kerry Washington
Jennifer Jason Leigh
Emily Deschanel
Rooney Mara
Tracee Ellis Ross
Willow Smith
Emily VanCamp
Ginger Rogers
Brooke Shields
Hilarie Burton
Yvonne De Carlo
Taylor Momsen
June Carter Cash
Gina Rodriguez
Kelly Preston
Britt Robertson
Camila Mendes
Elle Fanning
Lucy Hale
Phoebe Cates
Rachel Brosnahan
Elizabeth Hurley
Joey King
Natasha Richardson
Carole Lombard
Geena Davis
Raquel Welch
Ashley Tisdale
Olga Kurylenko
Selma Blair
Maggie Gyllenhaal
Kristen Wiig
Heather Locklear
Andie MacDowell
Kyra Sedgwick
Lauren Bacall
Mimi Rogers
Kiernan Shipka
Zsa Zsa Gabor
Emmy Rossum
Lena Horne
Ashley Benson
Sarah Jessica Parker
Anya Taylor-Joy
Lily Tomlin
Troian Bellisario
Rosario Dawson
Isabela Moner
Annette Bening
Bella Thorne
Dorothy Dandridge
Jennette McCurdy
Leighton Meester
Lauren London
Sophia Bush
Pauley Perrette
Minnie Driver
Ginnifer Goodwin
Lily-Rose Depp
Priyanka Chopra
Katharine Ross
January Jones
Rosie Huntington-Whiteley
Pamela Anderson
Kristin Kreuk
Jodie Sweetin
Alice Eve
Jane Wyman
Eliza Dushku
Alyssa Milano
Jennifer Morrison
Elizabeth Montgomery
Daryl Hannah
Eiza González
Christine Taylor
Julie Bowen
Valerie Bertinelli
Cindy Crawford
Jennifer Carpenter
Maya Rudolph
Malin Akerman
Lauren German
Katheryn Winnick
Fran Drescher
Cicely Tyson
Brenda Song
Bailee Madison
Gina Carano
Gillian Jacobs
Sarah Shahi
Jane Seymour
Jameela Jamil
Billie Lourd
Sarah Silverman
Brittany Snow
Beverly D’Angelo
Minka Kelly
Billie Piper
Jessica Simpson
Peyton List
Evita Peron
Amanda Bynes
Tiffani Thiessen
Ellie Kemper
Katey Sagal
Jennifer Coolidge
Jennifer Grey
Charlotte Riley
Melissa Gilbert
Candace Cameron Bure
Tiffany Haddish
America Ferrera
Connie Nielsen
Idina Menzel
Kelly Macdonald
Helen McCrory
AnnaSophia Robb
Ann-Margret
Danielle Panabaker
Molly Ringwald
Keke Palmer
Park Shin-hye
Megan Mullally
Ariel Winter
Rebel Wilson
Isabella Rossellini
Kate Walsh
Traci Lords
Nancy Sinatra
Brigitte Bardot
Kylie Minogue
Estelle Getty
Abigail Spencer
Chloe Bennet
Toni Collette
Amandla Stenberg
Miranda Kerr
Emily Osment
Kristin Chenoweth
Amanda Holden
Alyson Hannigan
Lana Condor
Lynda Carter
Joan Collins
Piper Perabo
Maria Bello
McKenna Grace
Tyra Banks
Courtney Love
Margaret Qualley
Nicola Peltz
Cristin Milioti
Chelsea Peretti
Sasha Alexander
Danica McKellar
Shelley Winters
Yara Shahidi
Denise Richards
Jennifer Beals
Leslie Mann
Peggy Lipton
Priscilla Presley
Jane Krakowski
Michelle Yeoh
Jayne Mansfield
Zazie Beetz
Anne Heche
Emily Browning
Adrianne Palicki
Neve Campbell
Teri Hatcher
Cote de Pablo
Missy Peregrym
Vanessa Paradis
Pom Klementieff
Liza Minnelli
Jaime Pressly
Heather Graham
Rene Russo
Chyler Leigh
Sofia Coppola
Dianna Agron
Phoebe Waller-Bridge
Nia Long
Patricia Arquette
Angie Harmon
Riley Keough
Juliette Lewis
Jamie Chung
Gina Torres
Italia Ricci
Stana Katic
Mackenzie Davis
Naomie Harris
Evanna Lynch
Bae Suzy
Anne Bancroft
Katie McGrath
Maureen O’Hara
Imogen Poots
Meagan Good
Stephanie Beatriz
Rue McClanahan
Elisabeth Moss
Maureen McCormick
Katharine McPhee
Tatum O’Neal
Bo Derek
Katherine Waterston
Vanessa Lynn Williams
Emmanuelle Chriqui
Kelly McGillis
Shannen Doherty
Asia Argento
Debra Messing
Janet Leigh
Tia Carrere
Pam Grier
Mélanie Laurent
Torrey DeVitto
Urmila Matondkar
Son Ye-jin
Eliza Taylor
Judy Greer
Sadie Sink
Megan Boone
Milana Vayntrub
Carly Rae Jepsen
Jean Smart
Linda Kozlowski
Mara Wilson
Phoebe Tonkin
Debbie Harry
Gloria Estefan
Susan Hayward
Edie Falco
Judith Sheindlin
Olivia Wilde
Bonnie Wright
Francesca Eastwood
Ali MacGraw
Olivia Culpo
Maggie Grace
Dawn Wells
Sue Perkins
Kirstie Alley
Bernadette Peters
Vanessa Marcil
Rachael Leigh Cook
Hayley Mills
Rebecca De Mornay
Mädchen Amick
Trisha Yearwood
Indira Varma
Amy Smart
Marla Maples
Cecily Strong
Elizabeth Gillies
Pia Wurtzbach
Rhea Perlman
Jennifer Jones
Mandy Moore
Tia Mowry
Daniela Ruah
Doris Roberts
Kate Capshaw
Jena Malone
Tatiana Maslany
Soleil Moon Frye
Sherilyn Fenn
Oona Chaplin
Kristen Schaal
Julia Garner
Miranda Hart
Jun Ji-hyun
Sutton Foster
Kat Graham
